SHame,shame,s,StandardsNeg,0
descants,descants,s,SubjectivePercept,0
on,on,s,SubjectivePercept,1
this,this,s,,0
theme,theme,c,LangRef,0
!,!,nnn,,0
I,i,s,FirstPer,0
Will,will,s,PredictedFuture,0
lay,lay,s,ReportingEvents,0
my,my,s,Autobio,0
life,life,s,Autobio,1
it,it,s,Positivity,0
pleases,pleases,s,Positivity,1
him,him,c,PersonPronoun,0
;,;,s,,0
the,the,s,PersonProperty,0
man,man,n,PersonProperty,1
Is,is,s,ReportingStates,0
deep,deep,s,AbstractConcepts,0
in,in,s,Positivity,0
love,love,c,Positivity,1
",",",",s,,0
and,and,s,,0
pity,pity,s,Sad,0
it,it,s,,0
is,is,s,Question,0
he,he,s,Question,1
has,has,n,,0
So,so,s,Positivity,0
great,great,s,Positivity,1
a,a,s,Resistance,0
rival,rival,s,Resistance,1
as,as,s,,0
Antonius,antonius,c,UNRECOGNIZED,0
.,.,nn,OralCues,0
Well,well,s,OralCues,1
use,use,s,Procedures,0
your,your,s,Procedures,1
wit,wit,s,StandardsPos,0
upon,upon,s,Immediacy,0
me,me,c,Immediacy,1
;,;,s,Resistance,0
but,but,s,Resistance,1
I,i,s,FirstPer,0
doubt,doubt,n,Uncertainty,0
If,if,s,Contingency,0
any,any,s,Contingency,1
man,man,s,PersonProperty,0
could,could,s,Contingency,0
search,search,s,DirectAddress,0
your,your,s,DirectAddress,1
secret,secret,s,Disclosure,0
thoughts,thoughts,c,Disclosure,1
",",",",n,,0
It,it,s,,0
Is,is,s,ReportingStates,0
envy,envy,c,Negative_Relation,0
",",",",s,,0
not,not,s,DenyDisclaim,0
morality,morality,s,StandardsPos,0
that,that,s,,0
makes,makes,n,DirectAddress,0
You,you,s,DirectAddress,1
tax,tax,s,AbstractConcepts,0
his,his,s,PersonPronoun,0
love,love,c,Positivity,0
",",",",s,,0
how,how,s,,0
gravely,gravely,s,Negativity,0
ere,ere,s,ProjectBack,0
you,you,s,DirectAddress,0
talk,talk,c,ReportingEvents,0
.,.,nn,Resistance,0
But,but,s,Resistance,1
can,can,s,Contingency,0
Canidius,canidius,s,UNRECOGNIZED,0
think,think,s,PrivateThinking,0
it,it,s,Insist,0
should,should,s,Insist,1
be,be,s,Insist,2
just,just,n,Intensity,0
In,in,s,Inclusive,0
our,our,s,Inclusive,1
Antonius,antonius,s,UNRECOGNIZED,0
to,to,s,,0
forsake,forsake,s,Resistance,0
for,for,s,SubjectivePercept,0
her,her,n,SubjectivePercept,1
His,his,s,PersonPronoun,0
lawful,lawful,s,StandardsPos,0
wife,wife,s,PersonProperty,0
the,the,s,Positivity,0
good,good,s,Positivity,1
Octavia,octavia,c,UNRECOGNIZED,0
?,?,nn,Question,0
Then,then,s,,0
like,like,s,Resemblances,0
a,a,s,Resemblances,1
Roman,roman,s,AbstractConcepts,0
let,let,s,ReportingEvents,0
me,me,s,FirstPer,0
answer,answer,c,Specifiers,0
",",",",s,,0
Marcus,marcus,c,UNRECOGNIZED,0
.,.,n,Question,0
Is,is,s,Question,1
it,it,s,Question,2
become,become,s,Transformation,0
a,a,s,Transformation,1
care,care,s,StandardsPos,0
worthy,worthy,s,StandardsPos,0
of,of,s,StandardsPos,1
us,us,n,Inclusive,0
What,what,s,,0
woman,woman,s,PersonProperty,0
Antony,antony,s,UNRECOGNIZED,0
enjoys,enjoys,c,Positivity,0
?,?,s,Question,0
have,have,s,Question,0
we,we,n,Question,1
Time,time,s,SubjectiveTime,0
to,to,s,SubjectiveTime,1
dispute,dispute,s,Resistance,0
his,his,s,Resistance,1
matrimonial,matrimonial,s,CommonAuthorities,0
faults,faults,c,StandardsNeg,0
",",",",n,,0
That,that,s,,0
have,have,s,PriorKnowledge,0
already,already,s,PriorKnowledge,1
seen,seen,s,PriorKnowledge,2
the,the,s,,0
breach,breach,s,StandardsNeg,0
of,of,s,StandardsNeg,1
all,all,n,,0
Romes,romes,s,UNRECOGNIZED,0
sacred,sacred,s,CommonAuthorities,0
laws,laws,c,CommonAuthorities,1
",",",",s,,0
by,by,s,Specifiers,0
which,which,s,Specifiers,1
the,the,s,,0
world,world,s,AbstractConcepts,0
was,was,s,ProjectBack,0
bound,bound,c,ReportingEvents,0
?,?,n,Question,0
Have,have,s,Question,0
we,we,s,Question,1
endured,endured,s,Resistance,0
our,our,s,Inclusive,0
Consuls,consuls,s,PersonProperty,0
state,state,s,,0
and,and,s,,0
power,power,n,StandardsPos,0
To,to,s,StandardsPos,1
be,be,s,ReportingStates,0
subjected,subjected,s,Negativity,0
by,by,s,,0
the,the,s,,0
lawless,lawless,s,StandardsNeg,0
arms,arms,n,SenseObject,0
Of,of,s,,0
private,private,s,AbstractConcepts,0
men,men,c,PersonProperty,0
",",",",s,,0
or,or,s,,0
Senators,senators,s,CommonAuthorities,0
proscribed,proscribed,c,ReportingStates,0
",",",",n,ReportingStates,1
And,and,s,,0
can,can,s,Contingency,0
we,we,s,,0
now,now,s,DirectReasoning,0
consider,consider,s,DirectReasoning,1
whether,whether,s,Contingency,0
they,they,n,,0
That,that,s,,0
did,did,s,ReportingEvents,0
all,all,s,Generalization,0
this,this,c,Generalization,1
",",",",s,,0
may,may,s,Contingency,0
keep,keep,s,TimeDuration,0
a,a,s,,0
wench,wench,s,PersonProperty,0
or,or,s,,0
no,no,c,DenyDisclaim,0
?,?,n,Question,0
It,it,s,ProjectBack,0
was,was,s,ProjectBack,1
the,the,s,ProjectBack,2
crime,crime,s,StandardsNeg,0
of,of,s,StandardsNeg,1
us,us,c,Inclusive,0
",",",",s,,0
and,and,s,,0
Fate,fate,s,SubjectivePercept,0
it,it,s,,0
self,self,n,SubjectivePercept,0
That,that,s,,0
Antony,antony,s,UNRECOGNIZED,0
and,and,s,,0
Caesar,caesar,s,,0
could,could,s,Contingency,0
usurp,usurp,n,StandardsNeg,0
A,a,s,,0
power,power,s,AbstractConcepts,0
so,so,s,Positivity,0
great,great,c,Positivity,1
;,;,s,,0
beyond,beyond,s,,0
which,which,s,Inclusive,0
we,we,s,Inclusive,1
can,can,s,Fear,0
suffer,suffer,n,Fear,1
No,no,s,DenyDisclaim,0
more,more,s,DenyDisclaim,1
worth,worth,s,AbstractConcepts,0
thinking,thinking,s,PrivateThinking,0
of,of,c,PrivateThinking,1
.,.,s,Metadiscourse,0
Nor,nor,s,Metadiscourse,1
were,were,s,Contingency,0
it,it,s,Contingency,1
to,to,s,Contingency,2
us,us,n,Inclusive,0
Any,any,s,,0
great,great,s,Intensity,0
fortune,fortune,s,ProjectAhead,0
if,if,s,Contingency,0
Antonius,antonius,n,UNRECOGNIZED,0
Were,were,s,ProjectBack,0
honest,honest,s,StandardsPos,0
of,of,s,,0
his,his,s,PersonPronoun,0
body,body,c,SenseObject,0
.,.,nn,Question,0
Have,have,s,Question,1
we,we,s,Question,2
then,then,c,TimeShift,0
",",",",n,TimeShift,1
Who,who,s,ProjectBack,0
have,have,s,ProjectBack,1
been,been,s,ProjectBack,2
greatest,greatest,s,Comparison,0
Magistrates,magistrates,c,CommonAuthorities,0
",",",",s,,0
quite,quite,s,Intensity,0
lost,lost,n,Negativity,0
All,all,s,,0
show,show,s,SenseProperty,0
of,of,s,SenseProperty,1
liberty,liberty,c,StandardsPos,0
