City,city,n,CommonAuthorities,0
Affrighted,affrighted,s,Fear,0
at,at,s,Immediacy,0
this,this,s,Immediacy,1
treason,treason,s,StandardsNeg,0
and,and,s,,0
new,new,s,,0
wars,wars,c,GenericEvents,0
.,.,nn,,0
News,news,s,Updates,0
of,of,s,Updates,1
more,more,s,Comparison,0
sadnesses,sadnesses,s,UNRECOGNIZED,0
than,than,s,Comparison,0
the,the,s,Comparison,1
Kingdoms,kingdoms,s,CommonAuthorities,0
loss,loss,c,Negativity,0
",",",",n,,0
She,she,s,PersonPronoun,0
fled,fled,s,ReportingEvents,0
upon,upon,s,Immediacy,0
her,her,s,Immediacy,1
hour,hour,c,TimeDuration,0
",",",",s,ReasonForward,0
for,for,s,ReasonForward,1
had,had,s,Contingency,0
she,she,s,Contingency,1
stayed,stayed,n,Contingency,2
Sh,sh,c,,0
',',s,,0
had,had,s,ProjectBack,0
either,either,s,Metadiscourse,0
dyed,dyed,c,Transformation,0
",",",",s,,0
been,been,s,ProjectBack,0
banished,banished,c,Resistance,0
",",",",s,,0
or,or,s,,0
betrayed,betrayed,c,Anger,0
.,.,n,,0
I,i,s,SelfDisclosure,0
have,have,s,SelfDisclosure,1
some,some,s,Uncertainty,0
servants,servants,s,PersonProperty,0
here,here,c,SpaceRelation,0
?,?,nn,Question,0
All,all,s,Generalization,0
these,these,s,Generalization,1
my,my,s,DirectAddress,0
Lord,lord,c,DirectAddress,1
.,.,nn,,0
All,all,s,Generalization,0
these,these,c,Generalization,1
?,?,s,Question,0
not,not,s,DenyDisclaim,0
all,all,c,DenyDisclaim,1
*,*,s,,0
you,you,s,DirectAddress,0
did,did,s,ReportingEvents,0
forget,forget,c,Negativity,0
",",",",s,,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
not,not,s,Negativity,0
worth,worth,s,Negativity,1
the,the,s,,0
flattering,flattering,c,SubjectivePercept,0
",",",",s,,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
done^,done^,c,UNRECOGNIZED,0
",",",",n,,0
Old,old,s,SenseProperty,0
and,and,s,,0
at,at,s,,0
set,set,c,ReportingStates,0
",",",",s,ReportingStates,1
honor,honor,s,StandardsPos,0
the,the,s,,0
rising,rising,s,Motions,0
Sun,sun,c,SenseObject,0
.,.,n,,0
If,if,s,Contingency,0
any,any,s,Contingency,1
for,for,s,Positivity,0
love,love,s,Positivity,1
serve,serve,s,ReportingEvents,0
me,me,c,FirstPer,0
",",",",s,Aside,0
which,which,s,Aside,1
is,is,s,Question,0
he,he,c,Question,1
?,?,n,Question,0
