done,done,nnn,ReportingStates,0
Marry,marry,s,Positivity,0
set,set,s,Narrative_Verbs,0
a,a,s,Narrative_Verbs,1
knave,knave,s,Negativity,0
over,over,s,SpaceRelation,0
the,the,s,SpaceRelation,1
shoon,shoon,c,SenseObject,0
",",",",nnn,,0
Therefore,therefore,s,ReasonForward,0
thou,thou,s,DirectAddress,0
shall,shall,s,ProjectAhead,0
abye,abye,nnn,Positivity,0
Why,why,s,Question,0
will,will,s,PredictedFuture,0
thou,thou,s,DirectAddress,0
fight,fight,s,Resistance,0
a,a,s,,0
pluck,pluck,nnn,StandardsPos,0
And,and,s,,0
God,god,s,CommonAuthorities,0
send,send,s,Request,0
me,me,s,Request,1
good,good,s,Positivity,0
luck,luck,c,Positivity,1
",",",",nnn,,0
Then,then,s,,0
have,have,s,Negativity,0
a,a,s,Negativity,1
stroke,stroke,s,Negativity,2
for,for,s,,0
Friar,friar,s,PersonProperty,0
tuck,tuck,c,Motions,0
.,.,nnn,Imperative,0
Hold,hold,s,Imperative,1
thy,thy,s,DirectAddress,0
hand,hand,s,SenseObject,0
Friar,friar,s,PersonProperty,0
and,and,s,,0
hear,hear,s,SpaceRelation,0
me,me,s,FirstPer,0
speak,speak,nnn,ReportingEvents,0
Say,say,s,Citations,0
on,on,s,,0
ragged,ragged,s,SenseProperty,0
knave,knave,n,Negativity,0
me,me,s,FirstPer,0
seems,seems,s,Uncertainty,0
ye,ye,s,OralCues,0
begin,begin,s,Sequence,0
to,to,s,Sequence,1
sweat,sweat,c,SenseObject,0
.,.,nn,,0
In,in,s,,0
this,this,s,,0
Forest,forest,s,SenseObject,0
I,i,s,SelfDisclosure,0
have,have,s,SelfDisclosure,1
a,a,s,SenseObject,0
hound,hound,n,SenseObject,1
I,i,s,FirstPer,0
will,will,s,PredictedFuture,0
not,not,s,PredictedFuture,1
give,give,s,,0
him,him,s,PersonPronoun,0
for,for,s,,0
an,an,s,,0
hundredth,hundredth,s,Sequence,0
pound,pound,c,Motions,0
:,:,n,,0
Give,give,s,ReportingEvents,0
me,me,s,ReportingEvents,1
leave,leave,s,,0
my,my,s,FirstPer,0
horn,horn,s,SenseObject,0
to,to,s,,0
blow,blow,c,Motions,0
",",",",n,,0
that,that,s,,0
my,my,s,FirstPer,0
hound,hound,s,Negative_Relation,0
may,may,s,Contingency,0
know,know,c,Confidence,0
.,.,nn,Imperative,0
Blow,blow,s,Imperative,1
on,on,s,,0
ragged,ragged,s,SenseProperty,0
knave,knave,s,Negativity,0
without,without,s,Contingency,0
any,any,s,Contingency,1
doubt,doubt,c,Uncertainty,0
",",",",n,,0
until,until,s,TimeDuration,0
both,both,s,,0
thine,thine,s,UNRECOGNIZED,0
eyes,eyes,s,SenseObject,0
start,start,s,Sequence,0
out,out,c,Sequence,1
:,:,n,,0
Here,here,s,DirectAddress,0
is,is,s,DirectAddress,1
a,a,s,DirectAddress,2
sort,sort,s,Uncertainty,0
of,of,s,Uncertainty,1
ragged,ragged,s,SenseProperty,0
knaves,knaves,s,Negativity,0
come,come,s,ReportingEvents,0
in,in,n,ReportingEvents,1
Clothed,clothed,s,SenseProperty,0
all,all,s,Generalization,0
in,in,s,Generalization,1
kendall,kendall,s,UNRECOGNIZED,0
green,green,n,SenseProperty,0
and,and,s,,0
to,to,s,,0
thee,thee,s,DirectAddress,0
they,they,s,,0
take,take,s,Responsibility,0
their,their,s,Responsibility,1
way,way,s,Responsibility,2
now,now,c,Immediacy,0
.,.,nn,,0
Peradventure,peradventure,s,Uncertainty,0
they,they,s,,0
do,do,s,Intensity,0
so,so,nnn,Intensity,1
I,i,s,FirstPer,0
gave,gave,s,ReportingEvents,0
thee,thee,s,DirectAddress,0
leave,leave,s,SceneShift,0
to,to,s,SceneShift,1
blow,blow,s,Motions,0
at,at,s,,0
thy,thy,s,DirectAddress,0
will,will,c,PredictedFuture,0
",",",",n,,0
now,now,s,Immediacy,0
give,give,s,ReportingEvents,0
me,me,s,ReportingEvents,1
leave,leave,s,SceneShift,0
to,to,s,SceneShift,1
whistle,whistle,s,Motions,0
my,my,s,FirstPer,0
sill,sill,c,SenseObject,0
.,.,nn,Imperative,0
Whistle,whistle,s,Imperative,1
Friar,friar,s,PersonProperty,0
evil,evil,s,StandardsNeg,0
might,might,s,Contingency,0
thou,thou,s,DirectAddress,0
fare,fare,c,SubjectivePercept,0
",",",",n,,0
until,until,s,TimeDuration,0
both,both,s,,0
thine,thine,s,UNRECOGNIZED,0
eyes,eyes,s,SenseObject,0
stare,stare,c,SpaceRelation,0
.,.,nn,,0
Now,now,s,Immediacy,0
cut,cut,s,ReportingEvents,0
and,and,s,,0
Bause,bause,c,UNRECOGNIZED,0
",",",",n,,0
Bring,bring,s,Transformation,0
forth,forth,s,Transformation,1
the,the,s,Transformation,2
clubbes,clubbes,s,UNRECOGNIZED,0
and,and,s,,0
staves,staves,n,SenseObject,0
And,and,s,,0
down,down,s,,0
with,with,s,Metadiscourse,0
those,those,s,Metadiscourse,1
ragged,ragged,s,SenseProperty,0
knaves,knaves,c,Negativity,0
.,.,nn,Question,0
How,how,s,Question,1
say,say,s,Citations,0
thou,thou,s,DirectAddress,0
Friar,friar,s,PersonProperty,0
will,will,s,PredictedFuture,0
thou,thou,s,DirectAddress,0
be,be,s,ReportingStates,0
my,my,s,Positivity,0
man,man,n,Positivity,1
to,to,s,,0
do,do,s,Intensity,0
me,me,s,FirstPer,0
the,the,s,StandardsPos,0
best,best,s,StandardsPos,1
service,service,s,StandardsPos,2
thou,thou,s,DirectAddress,0
can,can,c,Contingency,0
",",",",n,,0
Thou,thou,s,DirectAddress,0
shall,shall,s,ProjectAhead,0
have,have,s,,0
both,both,s,,0
gold,gold,s,SenseObject,0
and,and,s,,0
fee,fee,c,AbstractConcepts,0
",",",",n,,0
And,and,s,Specifiers,0
also,also,s,Specifiers,1
here,here,s,DirectAddress,0
is,is,s,DirectAddress,1
a,a,s,DirectAddress,2
lady,lady,s,PersonProperty,0
free,free,s,AbstractConcepts,0
I,i,s,FirstPer,0
will,will,s,PredictedFuture,0
give,give,s,,0
her,her,s,PersonPronoun,0
unto,unto,s,CommonAuthorities,0
thee,thee,n,DirectAddress,0
And,and,s,,0
her,her,s,PersonPronoun,0
chaplain,chaplain,s,PersonProperty,0
I,i,s,FirstPer,0
thee,thee,s,DirectAddress,0
make,make,n,ReportingEvents,0
to,to,s,ReportingEvents,1
serve,serve,s,StandardsPos,0
her,her,s,StandardsPos,1
for,for,s,StandardsPos,2
my,my,s,FirstPer,0
sake,sake,c,SenseObject,0
.,.,nn,Immediacy,0
Here,here,s,Immediacy,1
is,is,s,Immediacy,2
a,a,s,Immediacy,3
huckle,huckle,s,UNRECOGNIZED,0
duckle,duckle,s,UNRECOGNIZED,0
an,an,s,,0
inch,inch,s,Motions,0
above,above,s,Motions,1
the,the,s,,0
buckle,buckle,n,Motions,0
She,she,s,Neutral_Attribution,0
is,is,s,Neutral_Attribution,1
a,a,s,Neutral_Attribution,2
trul,trul,s,UNRECOGNIZED,0
of,of,s,,0
trust,trust,s,Confidence,0
to,to,s,Confidence,1
serve,serve,s,ReportingEvents,0
a,a,s,,0
friar,friar,s,PersonProperty,0
at,at,s,,0
his,his,s,PersonPronoun,0
lust,lust,n,Intensity,0
A,a,s,,0
pricker,pricker,c,SenseObject,0
",",",",s,,0
a,a,s,,0
prauncer,prauncer,c,UNRECOGNIZED,0
",",",",s,,0
a,a,s,,0
tearer,tearer,s,UNRECOGNIZED,0
of,of,s,,0
sheets,sheets,c,SenseObject,0
",",",",n,,0
a,a,s,,0
wagger,wagger,s,UNRECOGNIZED,0
of,of,s,,0
buttocks,buttocks,s,SenseObject,0
when,when,s,,0
other,other,s,Specifiers,0
men,men,s,PersonProperty,0
sleeps,sleeps,c,Motions,0
",",",",n,,0
Go,go,s,SceneShift,0
home,home,s,SceneShift,1
ye,ye,s,OralCues,0
knaves,knaves,s,Negativity,0
and,and,s,,0
lay,lay,s,ReportingEvents,0
crabs,crabs,s,SenseObject,0
in,in,s,,0
the,the,s,SenseObject,0
fire,fire,n,SenseObject,1
for,for,s,,0
my,my,s,FirstPer,0
lady,lady,s,PersonProperty,0
and,and,s,,0
I,i,s,FirstPer,0
will,will,s,PredictedFuture,0
dance,dance,s,Motions,0
in,in,s,,0
the,the,s,,0
mire,mire,s,SenseObject,0
for,for,s,,0
very,very,s,Intensity,0
pure,pure,s,StandardsPos,0
joy,joy,c,Positivity,0
.,.,nn,Imperative,0
Listen,listen,s,Imperative,1
my,my,s,FirstPer,0
merry,merry,s,PersonProperty,0
men,men,s,PersonProperty,1
all,all,n,,0
and,and,s,,0
harken,harken,s,Immediacy,0
what,what,s,,0
I,i,s,Metadiscourse,0
shall,shall,s,Metadiscourse,1
say,say,c,Citations,0
",",",",n,,0
Of,of,s,,0
an,an,s,,0
adventure,adventure,s,SceneShift,0
I,i,s,Metadiscourse,0
shall,shall,s,Metadiscourse,1
you,you,s,DirectAddress,0
tell,tell,n,Citations,0
that,that,s,Citations,1
befell,befell,s,Negativity,0
this,this,s,,0
other,other,s,Specifiers,0
day,day,c,TimeDuration,0
:,:,n,,0
With,with,s,Specifiers,0
a,a,s,Specifiers,1
proud,proud,s,StandardsPos,0
potter,potter,s,PersonProperty,0
I,i,s,FirstPer,0
met,met,n,ReportingEvents,0
and,and,s,,0
a,a,s,SenseObject,0
rose,rose,s,SenseObject,1
garland,garland,s,SenseObject,0
on,on,s,SpaceRelation,0
his,his,s,SpaceRelation,1
