POETASTER,poetaster,c,Negativity,0
fair,fair,s,StandardsPos,0
and,and,s,,0
formal,formal,s,AbstractConcepts,0
shapes,shapes,c,AbstractConcepts,0
.,.,n,,0
Against,against,s,,0
these,these,c,Immediacy,0
",",",",s,Immediacy,1
have,have,s,Question,0
we,we,s,Question,1
put,put,s,Transformation,0
on,on,s,Transformation,1
this,this,s,,0
forced,forced,s,ReportingEvents,0
defense,defense,c,AbstractConcepts,0
:,:,n,,0
Whereof,whereof,s,CommonAuthorities,0
the,the,s,,0
allegory,allegory,s,LangRef,0
and,and,s,,0
hid,hid,s,ReportingEvents,0
sense,sense,n,AbstractConcepts,0
Is,is,c,ReportingStates,0
",",",",s,,0
that,that,s,,0
a,a,s,SenseObject,0
well,well,s,SenseObject,1
erected,erected,s,ReportingEvents,0
confidence,confidence,n,StandardsPos,0
Can,can,s,Contingency,0
fright,fright,s,Negativity,0
their,their,s,PersonPronoun,0
pride,pride,c,StandardsPos,0
",",",",s,,0
and,and,s,,0
laugh,laugh,s,Positivity,0
their,their,s,PersonPronoun,0
folly,folly,s,StandardsNeg,0
hence,hence,c,ReasonForward,0
.,.,n,SpaceRelation,0
Here,here,s,SpaceRelation,1
now,now,c,Updates,0
",",",",s,Updates,1
put,put,s,ReportingEvents,0
case,case,s,AbstractConcepts,0
our,our,s,Inclusive,0
Author,author,s,CommunicatorRole,0
should,should,c,Insist,0
",",",",s,,0
once,once,s,RecurringEvents,0
more,more,c,RecurringEvents,1
",",",",n,,0
Swear,swear,s,Intensity,0
that,that,s,,0
his,his,s,PersonPronoun,0
play,play,s,ReportingEvents,0
were,were,s,ProjectBack,0
good,good,c,,0
;,;,s,,0
he,he,s,PersonPronoun,0
